Matricule,adresse,proprietaire,Valeur_terrain,Valeur_batiment,Valeur_immeuble,Description_cadastrale
3476-55-3018-0-000-0000,"rue du Phare","Ville de Rimouski ",12000,0,12000,3909614
3476-65-5351-0-000-0000,"avenue de l'Industrie, Rimouski","Ville de Rimouski ",400,4600,5000,2966843
3476-82-5972-0-000-0000,"avenue de l'Industrie, Rimouski","Ville De Rimouski ",78600,0,78600,4864628
3476-98-5361-0-000-0000,"rue du Phare","Ville de Rimouski ",3700,0,3700,2966805
3557-64-0540-0-000-0000,"chemin du Grand-Macpès Est","Ville de Rimouski ",900,0,900,3340233
3575-77-0757-0-000-0000,"avenue de l'Industrie","Ville de Rimouski ",84500,0,84500,"2966817, 2966818, 2966819, 2966844, 4864630"
3576-38-7033-0-000-0000,"boulevard Sainte-Anne, Rimouski","Ville de Rimouski ",8900,0,8900,4138708
3576-55-7109-0-000-0000,"avenue Louis-Hébert","Ville de Rimouski ",3200,0,3200,2966784
3576-63-8378-0-000-0000,"avenue Louis-Hébert","Ville de Rimouski ",400,0,400,2966783
3576-74-2015-0-000-0000,"avenue Louis-Hébert","Ville de Rimouski ",3600,0,3600,2966785
3576-78-4091-0-000-0000,"rue du Phare","Ville de Rimouski ",13000,0,13000,2966668
3576-99-0915-0-000-0000,"rue du Phare","Ville de Rimouski ",1800,0,1800,2966674
3576-99-4723-0-000-0000,"rue du Phare","Ville de Rimouski ",1500,0,1500,2966646
3576-99-9635-0-000-0000,"rue des Chalets","Ville de Rimouski ",2300,0,2300,2966652
3675-38-4923-0-000-0000,"avenue Louis-Hébert","Ville de Rimouski ",25500,0,25500,2966780
3676-09-7433-0-000-0000,"boulevard Sainte-Anne","Ville de Rimouski ",2000,4000,6000,2966644
3857-82-2535-0-000-0000,"58 chemin du Rang-Double","Ville de Rimouski ",14800,196300,211100,3644750
4058-05-2092-0-000-0000,"chemin du Rang-Double","Ville de Rimouski ",2400,0,2400,3644912
